"Section","Subsection","Feature","Classification","Evidence","PlayerSurface","Persistence","TestFamily","KnownLimitation"
"1","1.1 Soft-Lock Prevention","Add a developer command that prints the current overlay owner and state-transition history.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Define a single canonical hotkey table used by bindings, HUD hints, help screens, and docs.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Add an automated test that compares rendered help text against registered hotkeys.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Add an automated test that rejects duplicate unqualified hotkey bindings.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Separate global, tactical, overmap, modal, shop, and fleet-editor input scopes.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Add remappable keyboard controls.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Add mouse rebinding.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Add controller bindings.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Add controller glyph switching.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Add conflict warnings in the keybinding menu.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Add a ""restore defaults"" action per input category.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Add a searchable controls screen.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.2 Input Ownership","Add a small current-context input legend that never advertises unavailable actions.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add a frame-time profiler overlay with update, render, AI, campaign, asset-load, and GC timing.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add render counters for visible ships, projectiles, wrecks, VFX, sprites, and UI panels.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add a warning when image decode occurs during a rendered frame.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add a warning when any asset is loaded from disk after gameplay begins.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add bounded caches for every image library.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Audit all `BufferedImage.getSubimage(...)` uses for retained oversized rasters.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add compact sprite-atlas generation for multipart ships.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add texture-atlas support for turrets, wreck chunks, projectiles, and UI chrome.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add asset prewarm manifests per game mode instead of prewarming all content.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add sprite-memory budgets and cache telemetry.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add distant-ship render simplification.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add VFX quality tiers.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add projectile trail budgets.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add wreck-chunk budgets.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add adaptive visual degradation when frame time exceeds budget.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add a repeatable late-campaign performance scenario to CI.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add a battle stress harness with hundreds of ships and sustained missile fire.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add a long-running memory soak test.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"1","1.3 Performance Guardrails","Add a save/load soak test across repeated tactical transitions.","LIVE","UISystem; HotkeyRegistry; PerformanceGuardrails; DevOverlay","overlays; controls; F3 overlay","runtime settings and diagnostics","UiOverlayInvariantTest; HotkeyRegistryTest; PerformanceGuardrailsTest","Audit still requires manual accessibility and complete-suite validation."
"2","2.1 Campaign Onboarding","Replace the opening information dump with a paced command tutorial.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.1 Campaign Onboarding","Teach movement, mining, docking, map use, fleet management, and combat in separate beats.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.1 Campaign Onboarding","Let players skip each tutorial beat independently.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.1 Campaign Onboarding","Add a replayable tutorial archive.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.1 Campaign Onboarding","Add contextual reminders only after the player appears stuck.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.1 Campaign Onboarding","Add a first-contact tutorial explaining manual battle versus auto-resolve.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.1 Campaign Onboarding","Add a first-strike tutorial that previews cost, target quality, and consequences.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.1 Campaign Onboarding","Add a first-fleet-management tutorial for commitment, reserve, refit, and commissioning.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.1 Campaign Onboarding","Add a first-resource-shortage tutorial with a clear recovery path.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.1 Campaign Onboarding","Add a first-save explanation and visible checkpoint confirmation.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add difficulty presets focused on command complexity, combat lethality, and strategic pressure separately.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add a relaxed campaign mode with reduced attrition and slower hostile escalation.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add a tactical-only mode for players who want battles without campaign logistics.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add a command-only mode with auto-resolved tactical battles.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add an iron-command mode with limited saves and harsher losses.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add a custom difficulty screen with individually adjustable systems.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add colorblind palettes for faction markers, warnings, room damage, and shield states.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add scalable UI text.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add high-contrast HUD mode.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add reduced-flash and reduced-screen-shake options.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add subtitle size, background, and speaker-label settings.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add pause-on-focus-loss.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"2","2.2 Difficulty And Accessibility Defaults","Add hold-versus-toggle options for mining, firing, and map interactions.","PARTIAL","FirstHourOnboardingSystem; ExperienceRuntime; TutorialSystem","tutorial prompts; experience settings","experience settings store","FirstHourExperienceTest; TutorialWarpRegressionTest","Several modes and accessibility options need manual reachability verification."
"3","3.1 Ship Handling","Add distinct inertia profiles by hull class.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.1 Ship Handling","Add reverse thrust behavior and braking penalties.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.1 Ship Handling","Add drift, oversteer, and damaged-engine handling.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.1 Ship Handling","Add emergency burn with heat, fuel, and engine-damage risk.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.1 Ship Handling","Add formation-matching speed controls.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.1 Ship Handling","Add collision avoidance that respects player intent without feeling magnetic.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.1 Ship Handling","Add ram damage and dedicated ram-resistant hull identities.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.1 Ship Handling","Add tractor systems for rescue, salvage, and towing disabled ships.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.1 Ship Handling","Add docking approach assistance.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.1 Ship Handling","Add manual orientation hold for broadside ships.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Expand room-level damage into repair priorities and cascading failures.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add fire spread, decompression, coolant leaks, and electrical arcs as distinct hazards.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add crew casualty states that reduce station effectiveness.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add temporary evacuation of damaged compartments.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add bulkhead sealing choices.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add ammunition cook-off risk.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add reactor instability escalation.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add engine flare signatures when propulsion is damaged.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add bridge damage effects on fleet-command responsiveness.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add sensor-array damage effects on lock quality and map certainty.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add hangar damage effects on sortie launch times.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add visible damage decals that correspond to actual damaged rooms.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add persistent hull scars after major battles.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
"3","3.2 Damage And Survival","Add recoverable disabled ships instead of binary death for some hulls.","PARTIAL","TacticalCombatDepthSystem; Ship; Turret; UISystem","tactical HUD; tactical controls","campaign fleet records where applicable","TacticalCombatDepthSystemTest; combat regression tests","Feature breadth is modeled and tested unevenly; manual tactical acceptance pass remains."
