filename,category,type,duration_sec,channels,sample_rate_hz,prompt,negative_prompt,notes
    assets/audio/impacts/shield_energy_02.wav,impacts,oneshot,0.20,mono,48000,"Energy shield impact alternate, slightly fuller midrange and shorter fizz than variant A.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no exaggerated bass.","Variant B shield energy."
    assets/audio/impacts/shield_beam_01.wav,impacts,oneshot,0.20,mono,48000,"Beam contact on shield, smooth electric sting with focused transient and compact decay.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no exaggerated bass.","Variant A shield beam."
    assets/audio/impacts/shield_beam_02.wav,impacts,oneshot,0.22,mono,48000,"Beam shield impact alternate, slightly deeper body and softer top bite than variant A.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no exaggerated bass.","Variant B shield beam."
    assets/audio/impacts/shield_explosive_01.wav,impacts,oneshot,0.24,mono,48000,"Explosive impact against shield, punchy shock hit with brief ion ring, strong combat clarity.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no exaggerated bass.","Variant A shield explosive."
    assets/audio/impacts/shield_explosive_02.wav,impacts,oneshot,0.26,mono,48000,"Explosive shield impact alternate, slightly brighter crack and tighter ring-down than variant A.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no exaggerated bass.","Variant B shield explosive."
    assets/audio/impacts/hull_kinetic_01.wav,impacts,oneshot,0.20,mono,48000,"Kinetic hit on armored hull, hard metallic ping-thud, short ring, gritty but controlled.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no cartoon clang.","Variant A hull kinetic."
    assets/audio/impacts/hull_kinetic_02.wav,impacts,oneshot,0.22,mono,48000,"Kinetic hull impact alternate, slightly heavier low-mid thud and reduced ring.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no cartoon clang.","Variant B hull kinetic."
    assets/audio/impacts/hull_energy_01.wav,impacts,oneshot,0.22,mono,48000,"Energy hit on metal hull, sizzling transient plus metallic bite, compact and punchy.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no muddy bass.","Variant A hull energy."
    assets/audio/impacts/hull_energy_02.wav,impacts,oneshot,0.24,mono,48000,"Energy hull impact alternate, hotter sizzle and slightly shorter metal ring than variant A.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no muddy bass.","Variant B hull energy."
    assets/audio/impacts/hull_beam_01.wav,impacts,oneshot,0.24,mono,48000,"Beam scoring hull, searing contact attack with short abrasive burn texture, no excessive tail.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no muddy bass.","Variant A hull beam."
    assets/audio/impacts/hull_beam_02.wav,impacts,oneshot,0.26,mono,48000,"Beam hull impact alternate, slightly darker body and cleaner high-end than variant A.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no muddy bass.","Variant B hull beam."
    assets/audio/impacts/hull_explosive_01.wav,impacts,oneshot,0.30,mono,48000,"Explosive blast on armored hull, compact detonation with debris edge, strong but controlled low end.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no muddy sub rumble.","Variant A hull explosive."
    assets/audio/impacts/hull_explosive_02.wav,impacts,oneshot,0.34,mono,48000,"Explosive hull hit alternate, sharper transient and slightly longer debris tail than variant A.","No voice, no words, no melody, no chord progression, no long tail, no clipping, no muddy sub rumble.","Variant B hull explosive."
    assets/audio/impacts/explosion_01.wav,impacts,oneshot,0.90,stereo,48000,"Ship explosion, layered sci-fi blast with debris texture, impactful center hit and restrained decay.","No voice, no words, no melody, no chord progression, no overlong cinematic tail, no clipping, no muddy sub rumble.","Variant A major explosion."
    assets/audio/impacts/explosion_02.wav,impacts,oneshot,1.10,stereo,48000,"Ship explosion alternate, deeper initial bloom and wider debris texture, still gameplay-readable.","No voice, no words, no melody, no chord progression, no overlong cinematic tail, no clipping, no muddy sub rumble.","Variant B major explosion."
    assets/audio/hazards/fire_ignition_01.wav,hazards,oneshot,0.34,mono,48000,"Onboard fire ignition burst, pressurized fuel flare with sharp onset, compact hazardous tone.","No voice, no words, no melody, no chord progression, no long ambient wash, no clipping.","Variant A fire ignition."
    assets/audio/hazards/fire_ignition_02.wav,hazards,oneshot,0.38,mono,48000,"Fire ignition alternate, slightly raspier flame burst and shorter tail than variant A.","No voice, no words, no melody, no chord progression, no long ambient wash, no clipping.","Variant B fire ignition."
    assets/audio/hazards/fire_spread_01.wav,hazards,oneshot,0.46,mono,48000,"Compartment fire spreading, crackle rush and pressure movement, medium intensity, clean transient start.","No voice, no words, no melody, no chord progression, no long looping ambience, no clipping.","Variant A fire spread."
    assets/audio/hazards/fire_spread_02.wav,hazards,oneshot,0.54,mono,48000,"Fire spread alternate, slightly broader crackle band and heavier mid texture than variant A.","No voice, no words, no melody, no chord progression, no long looping ambience, no clipping.","Variant B fire spread."
    assets/audio/hazards/fire_suppression_01.wav,hazards,oneshot,0.42,mono,48000,"Fire suppression burst, vented suppressant hiss with pressure release, clear safety action cue.","No voice, no words, no melody, no chord progression, no long ambient wash, no clipping.","Variant A fire suppression."
    assets/audio/hazards/fire_suppression_02.wav,hazards,oneshot,0.50,mono,48000,"Fire suppression alternate, denser hiss body and slightly longer valve release than variant A.","No voice, no words, no melody, no chord progression, no long ambient wash, no clipping.","Variant B fire suppression."
    assets/audio/subsystems/engines_offline_01.wav,subsystems,oneshot,0.82,mono,48000,"Subsystem alert: engines offline, mechanical power-down stutter with urgent but clear warning character.","No voice, no words, no melody, no chord progression, no long reverb, no clipping.","Single engines offline alert."
    assets/audio/subsystems/reactor_offline_01.wav,subsystems,oneshot,1.10,mono,48000,"Subsystem alert: reactor offline, severe low-mid failure pulse with high-priority danger feel.","No voice, no words, no melody, no chord progression, no long reverb, no clipping.","Single reactor offline alert."
    assets/audio/subsystems/sensors_offline_01.wav,subsystems,oneshot,0.72,mono,48000,"Subsystem alert: sensors offline, electronic dropout chirp with crisp warning endpoint.","No voice, no words, no melody, no chord progression, no long reverb, no clipping.","Single sensors offline alert."
    assets/audio/subsystems/weapons_offline_01.wav,subsystems,oneshot,0.74,mono,48000,"Subsystem alert: weapons offline, assertive tactical failure beep cluster, short and readable.","No voice, no words, no melody, no chord progression, no long reverb, no clipping.","Single weapons offline alert."
assets/audio/subsystems/shields_offline_01.wav,subsystems,oneshot,0.78,mono,48000,"Subsystem alert: shields offline, descending energy-collapse cue with concise warning tail.","No voice, no words, no melody, no chord progression, no long reverb, no clipping.","Single shields offline alert."
assets/audio/ambient/bridge_ambient_01.wav,ambient,loop,18.00,stereo,48000,"Seamless loop: command bridge ambience, subtle electronics and low machinery hum, calm but alive, no dominant rhythm.","No voice, no words, no melody, no drums, no obvious pulses, no clipping, no harsh highs.","Must loop seamlessly."
assets/audio/ambient/engine_loop_01.wav,ambient,loop,14.00,stereo,48000,"Seamless loop: ship engine bed, steady sci-fi turbine drone, supportive low-mid energy, understated texture.","No voice, no words, no melody, no drums, no obvious pulses, no clipping, no harsh highs.","Must loop seamlessly."
assets/audio/ambient/station_hum_01.wav,ambient,loop,20.00,stereo,48000,"Seamless loop: space station power hum, broad electrical drone with occasional subtle shimmer, low-intensity background.","No voice, no words, no melody, no drums, no obvious pulses, no clipping, no harsh highs.","Must loop seamlessly."
